index,label,lr_path,hr_path,split
1484,of,E:\TT_exported\train1\lr\000001484.png,E:\TT_exported\train1\hr\000001484.png,train1
1485,use,E:\TT_exported\train1\lr\000001485.png,E:\TT_exported\train1\hr\000001485.png,train1
1486,the,E:\TT_exported\train1\lr\000001486.png,E:\TT_exported\train1\hr\000001486.png,train1
1487,and,E:\TT_exported\train1\lr\000001487.png,E:\TT_exported\train1\hr\000001487.png,train1
1488,of,E:\TT_exported\train1\lr\000001488.png,E:\TT_exported\train1\hr\000001488.png,train1
1489,Code,E:\TT_exported\train1\lr\000001489.png,E:\TT_exported\train1\hr\000001489.png,train1
1490,Penal,E:\TT_exported\train1\lr\000001490.png,E:\TT_exported\train1\hr\000001490.png,train1
1491,by,E:\TT_exported\train1\lr\000001491.png,E:\TT_exported\train1\hr\000001491.png,train1
1492,prohibited,E:\TT_exported\train1\lr\000001492.png,E:\TT_exported\train1\hr\000001492.png,train1
1493,which,E:\TT_exported\train1\lr\000001493.png,E:\TT_exported\train1\hr\000001493.png,train1
1494,conduct,E:\TT_exported\train1\lr\000001494.png,E:\TT_exported\train1\hr\000001494.png,train1
1495,in,E:\TT_exported\train1\lr\000001495.png,E:\TT_exported\train1\hr\000001495.png,train1
1496,5.,E:\TT_exported\train1\lr\000001496.png,E:\TT_exported\train1\hr\000001496.png,train1
1497,tape,E:\TT_exported\train1\lr\000001497.png,E:\TT_exported\train1\hr\000001497.png,train1
1498,or,E:\TT_exported\train1\lr\000001498.png,E:\TT_exported\train1\hr\000001498.png,train1
1499,or,E:\TT_exported\train1\lr\000001499.png,E:\TT_exported\train1\hr\000001499.png,train1
1500,radios,E:\TT_exported\train1\lr\000001500.png,E:\TT_exported\train1\hr\000001500.png,train1
1501,include,E:\TT_exported\train1\lr\000001501.png,E:\TT_exported\train1\hr\000001501.png,train1
1502,by,E:\TT_exported\train1\lr\000001502.png,E:\TT_exported\train1\hr\000001502.png,train1
1503,as,E:\TT_exported\train1\lr\000001503.png,E:\TT_exported\train1\hr\000001503.png,train1
1504,of,E:\TT_exported\train1\lr\000001504.png,E:\TT_exported\train1\hr\000001504.png,train1
1505,noise,E:\TT_exported\train1\lr\000001505.png,E:\TT_exported\train1\hr\000001505.png,train1
1506,of,E:\TT_exported\train1\lr\000001506.png,E:\TT_exported\train1\hr\000001506.png,train1
1507,noise,E:\TT_exported\train1\lr\000001507.png,E:\TT_exported\train1\hr\000001507.png,train1
1508,a,E:\TT_exported\train1\lr\000001508.png,E:\TT_exported\train1\hr\000001508.png,train1
1509,causes,E:\TT_exported\train1\lr\000001509.png,E:\TT_exported\train1\hr\000001509.png,train1
1510,a,E:\TT_exported\train1\lr\000001510.png,E:\TT_exported\train1\hr\000001510.png,train1
1511,a,E:\TT_exported\train1\lr\000001511.png,E:\TT_exported\train1\hr\000001511.png,train1
1512,causes,E:\TT_exported\train1\lr\000001512.png,E:\TT_exported\train1\hr\000001512.png,train1
1513,such,E:\TT_exported\train1\lr\000001513.png,E:\TT_exported\train1\hr\000001513.png,train1
1514,when,E:\TT_exported\train1\lr\000001514.png,E:\TT_exported\train1\hr\000001514.png,train1
1515,the,E:\TT_exported\train1\lr\000001515.png,E:\TT_exported\train1\hr\000001515.png,train1
1516,and,E:\TT_exported\train1\lr\000001516.png,E:\TT_exported\train1\hr\000001516.png,train1
1517,which,E:\TT_exported\train1\lr\000001517.png,E:\TT_exported\train1\hr\000001517.png,train1
1518,conduct,E:\TT_exported\train1\lr\000001518.png,E:\TT_exported\train1\hr\000001518.png,train1
1519,in,E:\TT_exported\train1\lr\000001519.png,E:\TT_exported\train1\hr\000001519.png,train1
1520,4.,E:\TT_exported\train1\lr\000001520.png,E:\TT_exported\train1\hr\000001520.png,train1
1521,or,E:\TT_exported\train1\lr\000001521.png,E:\TT_exported\train1\hr\000001521.png,train1
1522,or,E:\TT_exported\train1\lr\000001522.png,E:\TT_exported\train1\hr\000001522.png,train1
1523,or,E:\TT_exported\train1\lr\000001523.png,E:\TT_exported\train1\hr\000001523.png,train1
1524,premises,E:\TT_exported\train1\lr\000001524.png,E:\TT_exported\train1\hr\000001524.png,train1
1525,the,E:\TT_exported\train1\lr\000001525.png,E:\TT_exported\train1\hr\000001525.png,train1
1526,Code,E:\TT_exported\train1\lr\000001526.png,E:\TT_exported\train1\hr\000001526.png,train1
1527,Penal,E:\TT_exported\train1\lr\000001527.png,E:\TT_exported\train1\hr\000001527.png,train1
1528,on,E:\TT_exported\train1\lr\000001528.png,E:\TT_exported\train1\hr\000001528.png,train1
1529,on,E:\TT_exported\train1\lr\000001529.png,E:\TT_exported\train1\hr\000001529.png,train1
1530,business,E:\TT_exported\train1\lr\000001530.png,E:\TT_exported\train1\hr\000001530.png,train1
1531,California,E:\TT_exported\train1\lr\000001531.png,E:\TT_exported\train1\hr\000001531.png,train1
1532,by,E:\TT_exported\train1\lr\000001532.png,E:\TT_exported\train1\hr\000001532.png,train1
1533,as,E:\TT_exported\train1\lr\000001533.png,E:\TT_exported\train1\hr\000001533.png,train1
1534,carry,E:\TT_exported\train1\lr\000001534.png,E:\TT_exported\train1\hr\000001534.png,train1
1535,to,E:\TT_exported\train1\lr\000001535.png,E:\TT_exported\train1\hr\000001535.png,train1
1536,of,E:\TT_exported\train1\lr\000001536.png,E:\TT_exported\train1\hr\000001536.png,train1
1537,conduct,E:\TT_exported\train1\lr\000001537.png,E:\TT_exported\train1\hr\000001537.png,train1
1538,lawful,E:\TT_exported\train1\lr\000001538.png,E:\TT_exported\train1\hr\000001538.png,train1
1539,the,E:\TT_exported\train1\lr\000001539.png,E:\TT_exported\train1\hr\000001539.png,train1
1540,those,E:\TT_exported\train1\lr\000001540.png,E:\TT_exported\train1\hr\000001540.png,train1
1541,"customers,",E:\TT_exported\train1\lr\000001541.png,E:\TT_exported\train1\hr\000001541.png,train1
1542,their,E:\TT_exported\train1\lr\000001542.png,E:\TT_exported\train1\hr\000001542.png,train1
1543,or,E:\TT_exported\train1\lr\000001543.png,E:\TT_exported\train1\hr\000001543.png,train1
1544,with,E:\TT_exported\train1\lr\000001544.png,E:\TT_exported\train1\hr\000001544.png,train1
1545,3.,E:\TT_exported\train1\lr\000001545.png,E:\TT_exported\train1\hr\000001545.png,train1
1546,as,E:\TT_exported\train1\lr\000001546.png,E:\TT_exported\train1\hr\000001546.png,train1
1547,persons,E:\TT_exported\train1\lr\000001547.png,E:\TT_exported\train1\hr\000001547.png,train1
1548,or,E:\TT_exported\train1\lr\000001548.png,E:\TT_exported\train1\hr\000001548.png,train1
1549,any,E:\TT_exported\train1\lr\000001549.png,E:\TT_exported\train1\hr\000001549.png,train1
1550,of,E:\TT_exported\train1\lr\000001550.png,E:\TT_exported\train1\hr\000001550.png,train1
1551,other,E:\TT_exported\train1\lr\000001551.png,E:\TT_exported\train1\hr\000001551.png,train1
1552,influence,E:\TT_exported\train1\lr\000001552.png,E:\TT_exported\train1\hr\000001552.png,train1
1553,the,E:\TT_exported\train1\lr\000001553.png,E:\TT_exported\train1\hr\000001553.png,train1
1554,647.,E:\TT_exported\train1\lr\000001554.png,E:\TT_exported\train1\hr\000001554.png,train1
1555,under,E:\TT_exported\train1\lr\000001555.png,E:\TT_exported\train1\hr\000001555.png,train1
1556,Code,E:\TT_exported\train1\lr\000001556.png,E:\TT_exported\train1\hr\000001556.png,train1
1557,Penal,E:\TT_exported\train1\lr\000001557.png,E:\TT_exported\train1\hr\000001557.png,train1
1558,and,E:\TT_exported\train1\lr\000001558.png,E:\TT_exported\train1\hr\000001558.png,train1
1559,California,E:\TT_exported\train1\lr\000001559.png,E:\TT_exported\train1\hr\000001559.png,train1
1560,of,E:\TT_exported\train1\lr\000001560.png,E:\TT_exported\train1\hr\000001560.png,train1
1561,purpose,E:\TT_exported\train1\lr\000001561.png,E:\TT_exported\train1\hr\000001561.png,train1
1562,the,E:\TT_exported\train1\lr\000001562.png,E:\TT_exported\train1\hr\000001562.png,train1
1563,for,E:\TT_exported\train1\lr\000001563.png,E:\TT_exported\train1\hr\000001563.png,train1
1564,in,E:\TT_exported\train1\lr\000001564.png,E:\TT_exported\train1\hr\000001564.png,train1
1565,2.,E:\TT_exported\train1\lr\000001565.png,E:\TT_exported\train1\hr\000001565.png,train1
1566,center.,E:\TT_exported\train1\lr\000001566.png,E:\TT_exported\train1\hr\000001566.png,train1
1567,such,E:\TT_exported\train1\lr\000001567.png,E:\TT_exported\train1\hr\000001567.png,train1
1568,and,E:\TT_exported\train1\lr\000001568.png,E:\TT_exported\train1\hr\000001568.png,train1
1569,of,E:\TT_exported\train1\lr\000001569.png,E:\TT_exported\train1\hr\000001569.png,train1
1570,any,E:\TT_exported\train1\lr\000001570.png,E:\TT_exported\train1\hr\000001570.png,train1
1571,the,E:\TT_exported\train1\lr\000001571.png,E:\TT_exported\train1\hr\000001571.png,train1
1572,within,E:\TT_exported\train1\lr\000001572.png,E:\TT_exported\train1\hr\000001572.png,train1
1573,movement,E:\TT_exported\train1\lr\000001573.png,E:\TT_exported\train1\hr\000001573.png,train1
1574,when,E:\TT_exported\train1\lr\000001574.png,E:\TT_exported\train1\hr\000001574.png,train1
1575,in,E:\TT_exported\train1\lr\000001575.png,E:\TT_exported\train1\hr\000001575.png,train1
1576,or,E:\TT_exported\train1\lr\000001576.png,E:\TT_exported\train1\hr\000001576.png,train1
1577,skate,E:\TT_exported\train1\lr\000001577.png,E:\TT_exported\train1\hr\000001577.png,train1
1578,code,E:\TT_exported\train1\lr\000001578.png,E:\TT_exported\train1\hr\000001578.png,train1
1579,or,E:\TT_exported\train1\lr\000001579.png,E:\TT_exported\train1\hr\000001579.png,train1
1580,Penal,E:\TT_exported\train1\lr\000001580.png,E:\TT_exported\train1\hr\000001580.png,train1
1581,on,E:\TT_exported\train1\lr\000001581.png,E:\TT_exported\train1\hr\000001581.png,train1
1582,person,E:\TT_exported\train1\lr\000001582.png,E:\TT_exported\train1\hr\000001582.png,train1
1583,any,E:\TT_exported\train1\lr\000001583.png,E:\TT_exported\train1\hr\000001583.png,train1
1584,as,E:\TT_exported\train1\lr\000001584.png,E:\TT_exported\train1\hr\000001584.png,train1
1585,of,E:\TT_exported\train1\lr\000001585.png,E:\TT_exported\train1\hr\000001585.png,train1
1586,and,E:\TT_exported\train1\lr\000001586.png,E:\TT_exported\train1\hr\000001586.png,train1
1587,"floors,",E:\TT_exported\train1\lr\000001587.png,E:\TT_exported\train1\hr\000001587.png,train1
1588,on,E:\TT_exported\train1\lr\000001588.png,E:\TT_exported\train1\hr\000001588.png,train1
1589,prohibited,E:\TT_exported\train1\lr\000001589.png,E:\TT_exported\train1\hr\000001589.png,train1
1590,1.,E:\TT_exported\train1\lr\000001590.png,E:\TT_exported\train1\hr\000001590.png,train1
1591,persons,E:\TT_exported\train1\lr\000001591.png,E:\TT_exported\train1\hr\000001591.png,train1
1592,all,E:\TT_exported\train1\lr\000001592.png,E:\TT_exported\train1\hr\000001592.png,train1
1593,the,E:\TT_exported\train1\lr\000001593.png,E:\TT_exported\train1\hr\000001593.png,train1
1594,from,E:\TT_exported\train1\lr\000001594.png,E:\TT_exported\train1\hr\000001594.png,train1
1595,to,E:\TT_exported\train1\lr\000001595.png,E:\TT_exported\train1\hr\000001595.png,train1
1596,to,E:\TT_exported\train1\lr\000001596.png,E:\TT_exported\train1\hr\000001596.png,train1
1597,are,E:\TT_exported\train1\lr\000001597.png,E:\TT_exported\train1\hr\000001597.png,train1
1598,Oaks,E:\TT_exported\train1\lr\000001598.png,E:\TT_exported\train1\hr\000001598.png,train1
1599,the,E:\TT_exported\train1\lr\000001599.png,E:\TT_exported\train1\hr\000001599.png,train1
1600,your,E:\TT_exported\train1\lr\000001600.png,E:\TT_exported\train1\hr\000001600.png,train1
1601,ensure,E:\TT_exported\train1\lr\000001601.png,E:\TT_exported\train1\hr\000001601.png,train1
1602,to,E:\TT_exported\train1\lr\000001602.png,E:\TT_exported\train1\hr\000001602.png,train1
1603,order,E:\TT_exported\train1\lr\000001603.png,E:\TT_exported\train1\hr\000001603.png,train1
1604,In,E:\TT_exported\train1\lr\000001604.png,E:\TT_exported\train1\hr\000001604.png,train1
1605,4.,E:\TT_exported\train1\lr\000001605.png,E:\TT_exported\train1\hr\000001605.png,train1
1606,10',E:\TT_exported\train1\lr\000001606.png,E:\TT_exported\train1\hr\000001606.png,train1
1607,10',E:\TT_exported\train1\lr\000001607.png,E:\TT_exported\train1\hr\000001607.png,train1
1608,2.,E:\TT_exported\train1\lr\000001608.png,E:\TT_exported\train1\hr\000001608.png,train1
1609,SERVICES,E:\TT_exported\train1\lr\000001609.png,E:\TT_exported\train1\hr\000001609.png,train1
1610,ASSISTANCE,E:\TT_exported\train1\lr\000001610.png,E:\TT_exported\train1\hr\000001610.png,train1
1611,LIVING,E:\TT_exported\train1\lr\000001611.png,E:\TT_exported\train1\hr\000001611.png,train1
1612,1-800-369-0996,E:\TT_exported\train1\lr\000001612.png,E:\TT_exported\train1\hr\000001612.png,train1
1613,Adjustable,E:\TT_exported\train1\lr\000001613.png,E:\TT_exported\train1\hr\000001613.png,train1
1614,Cold,E:\TT_exported\train1\lr\000001614.png,E:\TT_exported\train1\hr\000001614.png,train1
1615,shoe,E:\TT_exported\train1\lr\000001615.png,E:\TT_exported\train1\hr\000001615.png,train1
1616,Extension,E:\TT_exported\train1\lr\000001616.png,E:\TT_exported\train1\hr\000001616.png,train1
1617,Bar,E:\TT_exported\train1\lr\000001617.png,E:\TT_exported\train1\hr\000001617.png,train1
1618,Bar,E:\TT_exported\train1\lr\000001618.png,E:\TT_exported\train1\hr\000001618.png,train1
1619,"8""",E:\TT_exported\train1\lr\000001619.png,E:\TT_exported\train1\hr\000001619.png,train1
1620,"8""",E:\TT_exported\train1\lr\000001620.png,E:\TT_exported\train1\hr\000001620.png,train1
1621,910083,E:\TT_exported\train1\lr\000001621.png,E:\TT_exported\train1\hr\000001621.png,train1
1622,947021,E:\TT_exported\train1\lr\000001622.png,E:\TT_exported\train1\hr\000001622.png,train1
1623,FOR,E:\TT_exported\train1\lr\000001623.png,E:\TT_exported\train1\hr\000001623.png,train1
1624,BRAND,E:\TT_exported\train1\lr\000001624.png,E:\TT_exported\train1\hr\000001624.png,train1
1625,R,E:\TT_exported\train1\lr\000001625.png,E:\TT_exported\train1\hr\000001625.png,train1
1626,/2018,E:\TT_exported\train1\lr\000001626.png,E:\TT_exported\train1\hr\000001626.png,train1
1627,01,E:\TT_exported\train1\lr\000001627.png,E:\TT_exported\train1\hr\000001627.png,train1
1628,01,E:\TT_exported\train1\lr\000001628.png,E:\TT_exported\train1\hr\000001628.png,train1
1629,SANITIZER,E:\TT_exported\train1\lr\000001629.png,E:\TT_exported\train1\hr\000001629.png,train1
1630,SANITIZER,E:\TT_exported\train1\lr\000001630.png,E:\TT_exported\train1\hr\000001630.png,train1
1631,CERTIFIED,E:\TT_exported\train1\lr\000001631.png,E:\TT_exported\train1\hr\000001631.png,train1
1632,CERTIFIED,E:\TT_exported\train1\lr\000001632.png,E:\TT_exported\train1\hr\000001632.png,train1
1633,GREEN,E:\TT_exported\train1\lr\000001633.png,E:\TT_exported\train1\hr\000001633.png,train1
1634,GREEN,E:\TT_exported\train1\lr\000001634.png,E:\TT_exported\train1\hr\000001634.png,train1
1635,HAND,E:\TT_exported\train1\lr\000001635.png,E:\TT_exported\train1\hr\000001635.png,train1
1636,HAND,E:\TT_exported\train1\lr\000001636.png,E:\TT_exported\train1\hr\000001636.png,train1
1637,ADVANCED,E:\TT_exported\train1\lr\000001637.png,E:\TT_exported\train1\hr\000001637.png,train1
1638,ADVANCED,E:\TT_exported\train1\lr\000001638.png,E:\TT_exported\train1\hr\000001638.png,train1
1639,BRAND,E:\TT_exported\train1\lr\000001639.png,E:\TT_exported\train1\hr\000001639.png,train1
1640,R,E:\TT_exported\train1\lr\000001640.png,E:\TT_exported\train1\hr\000001640.png,train1
1641,R,E:\TT_exported\train1\lr\000001641.png,E:\TT_exported\train1\hr\000001641.png,train1
1642,INSTANT,E:\TT_exported\train1\lr\000001642.png,E:\TT_exported\train1\hr\000001642.png,train1
1643,R,E:\TT_exported\train1\lr\000001643.png,E:\TT_exported\train1\hr\000001643.png,train1
1644,Por,E:\TT_exported\train1\lr\000001644.png,E:\TT_exported\train1\hr\000001644.png,train1
1645,R,E:\TT_exported\train1\lr\000001645.png,E:\TT_exported\train1\hr\000001645.png,train1
1646,R,E:\TT_exported\train1\lr\000001646.png,E:\TT_exported\train1\hr\000001646.png,train1
1647,COINS,E:\TT_exported\train1\lr\000001647.png,E:\TT_exported\train1\hr\000001647.png,train1
1648,DEPOSIT,E:\TT_exported\train1\lr\000001648.png,E:\TT_exported\train1\hr\000001648.png,train1
1649,TONE,E:\TT_exported\train1\lr\000001649.png,E:\TT_exported\train1\hr\000001649.png,train1
1650,A,E:\TT_exported\train1\lr\000001650.png,E:\TT_exported\train1\hr\000001650.png,train1
1651,J,E:\TT_exported\train1\lr\000001651.png,E:\TT_exported\train1\hr\000001651.png,train1
1652,T,E:\TT_exported\train1\lr\000001652.png,E:\TT_exported\train1\hr\000001652.png,train1
1653,7,E:\TT_exported\train1\lr\000001653.png,E:\TT_exported\train1\hr\000001653.png,train1
1654,PRS,E:\TT_exported\train1\lr\000001654.png,E:\TT_exported\train1\hr\000001654.png,train1
1655,4,E:\TT_exported\train1\lr\000001655.png,E:\TT_exported\train1\hr\000001655.png,train1
1656,GHI,E:\TT_exported\train1\lr\000001656.png,E:\TT_exported\train1\hr\000001656.png,train1
1657,active.,E:\TT_exported\train1\lr\000001657.png,E:\TT_exported\train1\hr\000001657.png,train1
1658,active.,E:\TT_exported\train1\lr\000001658.png,E:\TT_exported\train1\hr\000001658.png,train1
1659,remain,E:\TT_exported\train1\lr\000001659.png,E:\TT_exported\train1\hr\000001659.png,train1
1660,remain,E:\TT_exported\train1\lr\000001660.png,E:\TT_exported\train1\hr\000001660.png,train1
1661,to,E:\TT_exported\train1\lr\000001661.png,E:\TT_exported\train1\hr\000001661.png,train1
1662,to,E:\TT_exported\train1\lr\000001662.png,E:\TT_exported\train1\hr\000001662.png,train1
1663,week,E:\TT_exported\train1\lr\000001663.png,E:\TT_exported\train1\hr\000001663.png,train1
1664,week,E:\TT_exported\train1\lr\000001664.png,E:\TT_exported\train1\hr\000001664.png,train1
1665,a,E:\TT_exported\train1\lr\000001665.png,E:\TT_exported\train1\hr\000001665.png,train1
1666,once,E:\TT_exported\train1\lr\000001666.png,E:\TT_exported\train1\hr\000001666.png,train1
1667,once,E:\TT_exported\train1\lr\000001667.png,E:\TT_exported\train1\hr\000001667.png,train1
1668,used,E:\TT_exported\train1\lr\000001668.png,E:\TT_exported\train1\hr\000001668.png,train1
1669,used,E:\TT_exported\train1\lr\000001669.png,E:\TT_exported\train1\hr\000001669.png,train1
1670,be,E:\TT_exported\train1\lr\000001670.png,E:\TT_exported\train1\hr\000001670.png,train1
1671,be,E:\TT_exported\train1\lr\000001671.png,E:\TT_exported\train1\hr\000001671.png,train1
1672,must,E:\TT_exported\train1\lr\000001672.png,E:\TT_exported\train1\hr\000001672.png,train1
1673,must,E:\TT_exported\train1\lr\000001673.png,E:\TT_exported\train1\hr\000001673.png,train1
1674,Accounts,E:\TT_exported\train1\lr\000001674.png,E:\TT_exported\train1\hr\000001674.png,train1
1675,week.,E:\TT_exported\train1\lr\000001675.png,E:\TT_exported\train1\hr\000001675.png,train1
1676,week.,E:\TT_exported\train1\lr\000001676.png,E:\TT_exported\train1\hr\000001676.png,train1
1677,one,E:\TT_exported\train1\lr\000001677.png,E:\TT_exported\train1\hr\000001677.png,train1
1678,one,E:\TT_exported\train1\lr\000001678.png,E:\TT_exported\train1\hr\000001678.png,train1
1679,for,E:\TT_exported\train1\lr\000001679.png,E:\TT_exported\train1\hr\000001679.png,train1
1680,for,E:\TT_exported\train1\lr\000001680.png,E:\TT_exported\train1\hr\000001680.png,train1
1681,kept,E:\TT_exported\train1\lr\000001681.png,E:\TT_exported\train1\hr\000001681.png,train1
1682,are,E:\TT_exported\train1\lr\000001682.png,E:\TT_exported\train1\hr\000001682.png,train1
1683,are,E:\TT_exported\train1\lr\000001683.png,E:\TT_exported\train1\hr\000001683.png,train1
1684,Messages,E:\TT_exported\train1\lr\000001684.png,E:\TT_exported\train1\hr\000001684.png,train1
1685,payphones.,E:\TT_exported\train1\lr\000001685.png,E:\TT_exported\train1\hr\000001685.png,train1
1686,participating,E:\TT_exported\train1\lr\000001686.png,E:\TT_exported\train1\hr\000001686.png,train1
1687,from,E:\TT_exported\train1\lr\000001687.png,E:\TT_exported\train1\hr\000001687.png,train1
1688,available,E:\TT_exported\train1\lr\000001688.png,E:\TT_exported\train1\hr\000001688.png,train1
1689,only,E:\TT_exported\train1\lr\000001689.png,E:\TT_exported\train1\hr\000001689.png,train1
1690,is,E:\TT_exported\train1\lr\000001690.png,E:\TT_exported\train1\hr\000001690.png,train1
1691,is,E:\TT_exported\train1\lr\000001691.png,E:\TT_exported\train1\hr\000001691.png,train1
1692,Mail,E:\TT_exported\train1\lr\000001692.png,E:\TT_exported\train1\hr\000001692.png,train1
1693,7-1-1,E:\TT_exported\train1\lr\000001693.png,E:\TT_exported\train1\hr\000001693.png,train1
1694,7-1-1,E:\TT_exported\train1\lr\000001694.png,E:\TT_exported\train1\hr\000001694.png,train1
1695,available.,E:\TT_exported\train1\lr\000001695.png,E:\TT_exported\train1\hr\000001695.png,train1
1696,cities,E:\TT_exported\train1\lr\000001696.png,E:\TT_exported\train1\hr\000001696.png,train1
1697,cities,E:\TT_exported\train1\lr\000001697.png,E:\TT_exported\train1\hr\000001697.png,train1
1698,of,E:\TT_exported\train1\lr\000001698.png,E:\TT_exported\train1\hr\000001698.png,train1
1699,of,E:\TT_exported\train1\lr\000001699.png,E:\TT_exported\train1\hr\000001699.png,train1
1700,list,E:\TT_exported\train1\lr\000001700.png,E:\TT_exported\train1\hr\000001700.png,train1
1701,current,E:\TT_exported\train1\lr\000001701.png,E:\TT_exported\train1\hr\000001701.png,train1
1702,current,E:\TT_exported\train1\lr\000001702.png,E:\TT_exported\train1\hr\000001702.png,train1
1703,a,E:\TT_exported\train1\lr\000001703.png,E:\TT_exported\train1\hr\000001703.png,train1
1704,for,E:\TT_exported\train1\lr\000001704.png,E:\TT_exported\train1\hr\000001704.png,train1
1705,for,E:\TT_exported\train1\lr\000001705.png,E:\TT_exported\train1\hr\000001705.png,train1
1706,inside,E:\TT_exported\train1\lr\000001706.png,E:\TT_exported\train1\hr\000001706.png,train1
1707,inside,E:\TT_exported\train1\lr\000001707.png,E:\TT_exported\train1\hr\000001707.png,train1
1708,cashier,E:\TT_exported\train1\lr\000001708.png,E:\TT_exported\train1\hr\000001708.png,train1
1709,the,E:\TT_exported\train1\lr\000001709.png,E:\TT_exported\train1\hr\000001709.png,train1
1710,See,E:\TT_exported\train1\lr\000001710.png,E:\TT_exported\train1\hr\000001710.png,train1
1711,See,E:\TT_exported\train1\lr\000001711.png,E:\TT_exported\train1\hr\000001711.png,train1
1712,internationally.,E:\TT_exported\train1\lr\000001712.png,E:\TT_exported\train1\hr\000001712.png,train1
1713,cities,E:\TT_exported\train1\lr\000001713.png,E:\TT_exported\train1\hr\000001713.png,train1
1714,selected,E:\TT_exported\train1\lr\000001714.png,E:\TT_exported\train1\hr\000001714.png,train1
1715,to,E:\TT_exported\train1\lr\000001715.png,E:\TT_exported\train1\hr\000001715.png,train1
1716,to,E:\TT_exported\train1\lr\000001716.png,E:\TT_exported\train1\hr\000001716.png,train1
1717,mail,E:\TT_exported\train1\lr\000001717.png,E:\TT_exported\train1\hr\000001717.png,train1
1718,mail,E:\TT_exported\train1\lr\000001718.png,E:\TT_exported\train1\hr\000001718.png,train1
1719,voice,E:\TT_exported\train1\lr\000001719.png,E:\TT_exported\train1\hr\000001719.png,train1
1720,voice,E:\TT_exported\train1\lr\000001720.png,E:\TT_exported\train1\hr\000001720.png,train1
1721,send,E:\TT_exported\train1\lr\000001721.png,E:\TT_exported\train1\hr\000001721.png,train1
1722,send,E:\TT_exported\train1\lr\000001722.png,E:\TT_exported\train1\hr\000001722.png,train1
1723,to,E:\TT_exported\train1\lr\000001723.png,E:\TT_exported\train1\hr\000001723.png,train1
1724,to,E:\TT_exported\train1\lr\000001724.png,E:\TT_exported\train1\hr\000001724.png,train1
1725,7-1-1,E:\TT_exported\train1\lr\000001725.png,E:\TT_exported\train1\hr\000001725.png,train1
1726,7-1-1,E:\TT_exported\train1\lr\000001726.png,E:\TT_exported\train1\hr\000001726.png,train1
1727,use,E:\TT_exported\train1\lr\000001727.png,E:\TT_exported\train1\hr\000001727.png,train1
1728,use,E:\TT_exported\train1\lr\000001728.png,E:\TT_exported\train1\hr\000001728.png,train1
1729,may,E:\TT_exported\train1\lr\000001729.png,E:\TT_exported\train1\hr\000001729.png,train1
1730,may,E:\TT_exported\train1\lr\000001730.png,E:\TT_exported\train1\hr\000001730.png,train1
1731,You,E:\TT_exported\train1\lr\000001731.png,E:\TT_exported\train1\hr\000001731.png,train1
1732,You,E:\TT_exported\train1\lr\000001732.png,E:\TT_exported\train1\hr\000001732.png,train1
1733,min.),E:\TT_exported\train1\lr\000001733.png,E:\TT_exported\train1\hr\000001733.png,train1
1734,5,E:\TT_exported\train1\lr\000001734.png,E:\TT_exported\train1\hr\000001734.png,train1
1735,5,E:\TT_exported\train1\lr\000001735.png,E:\TT_exported\train1\hr\000001735.png,train1
1736,for,E:\TT_exported\train1\lr\000001736.png,E:\TT_exported\train1\hr\000001736.png,train1
1737,for,E:\TT_exported\train1\lr\000001737.png,E:\TT_exported\train1\hr\000001737.png,train1
1738,$.35,E:\TT_exported\train1\lr\000001738.png,E:\TT_exported\train1\hr\000001738.png,train1
1739,(Cost,E:\TT_exported\train1\lr\000001739.png,E:\TT_exported\train1\hr\000001739.png,train1
1740,7-1-1,E:\TT_exported\train1\lr\000001740.png,E:\TT_exported\train1\hr\000001740.png,train1
1741,dial,E:\TT_exported\train1\lr\000001741.png,E:\TT_exported\train1\hr\000001741.png,train1
1742,"message,",E:\TT_exported\train1\lr\000001742.png,E:\TT_exported\train1\hr\000001742.png,train1
1743,voice,E:\TT_exported\train1\lr\000001743.png,E:\TT_exported\train1\hr\000001743.png,train1
1744,voice,E:\TT_exported\train1\lr\000001744.png,E:\TT_exported\train1\hr\000001744.png,train1
1745,a,E:\TT_exported\train1\lr\000001745.png,E:\TT_exported\train1\hr\000001745.png,train1
1746,a,E:\TT_exported\train1\lr\000001746.png,E:\TT_exported\train1\hr\000001746.png,train1
1747,send,E:\TT_exported\train1\lr\000001747.png,E:\TT_exported\train1\hr\000001747.png,train1
1748,or,E:\TT_exported\train1\lr\000001748.png,E:\TT_exported\train1\hr\000001748.png,train1
1749,or,E:\TT_exported\train1\lr\000001749.png,E:\TT_exported\train1\hr\000001749.png,train1
1750,messages,E:\TT_exported\train1\lr\000001750.png,E:\TT_exported\train1\hr\000001750.png,train1
1751,voice,E:\TT_exported\train1\lr\000001751.png,E:\TT_exported\train1\hr\000001751.png,train1
1752,voice,E:\TT_exported\train1\lr\000001752.png,E:\TT_exported\train1\hr\000001752.png,train1
1753,your,E:\TT_exported\train1\lr\000001753.png,E:\TT_exported\train1\hr\000001753.png,train1
1754,your,E:\TT_exported\train1\lr\000001754.png,E:\TT_exported\train1\hr\000001754.png,train1
1755,to,E:\TT_exported\train1\lr\000001755.png,E:\TT_exported\train1\hr\000001755.png,train1
1756,to,E:\TT_exported\train1\lr\000001756.png,E:\TT_exported\train1\hr\000001756.png,train1
1757,listen,E:\TT_exported\train1\lr\000001757.png,E:\TT_exported\train1\hr\000001757.png,train1
